step,samples,baseline_prompt_max,deferred_prompt_max,baseline_response_mean,deferred_response_mean,baseline_response_max,deferred_response_max,baseline_tokens,deferred_tokens,identical_output_texts,baseline_student_microbatches,deferred_student_microbatches
1,8,7880.0,7880.0,115.0,122.0,255.0,284.0,920.0,976.0,2,6,6
2,8,7318.0,7318.0,69.875,84.625,143.0,159.0,559.0,677.0,2,6,6
3,8,7032.0,7032.0,91.25,81.875,229.0,263.0,730.0,655.0,1,6,6
4,8,6700.0,6700.0,55.625,98.875,184.0,218.0,445.0,791.0,1,4,6
5,8,6047.0,6047.0,87.625,101.25,485.0,389.0,701.0,810.0,1,4,4
6,8,5949.0,5949.0,128.875,87.75,629.0,308.0,1031.0,702.0,2,4,4
7,8,5907.0,5907.0,97.625,84.125,189.0,148.0,781.0,673.0,0,4,4
8,8,5727.0,5727.0,96.5,67.375,225.0,125.0,772.0,539.0,0,4,4
